pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode,
H4,2019,2019,2019,0,0,1,Import,270,Gambia,GMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,494031876,None,None,4,
H4,2019,2019,2019,0,0,2,Export,270,Gambia,GMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,24602270,None,None,4,
H4,2019,2019,2019,0,0,3,Re-Export,270,Gambia,GMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,17375882,None,None,0,
H4,2019,2019,2019,0,0,1,Import,275,State of Palestine,PSE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,13226908257,None,None,4,
H4,2019,2019,2019,0,0,2,Export,275,State of Palestine,PSE,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2207616748,None,None,4,
H4,2019,2019,2019,0,0,1,Import,478,Mauritania,MRT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,3519829183,None,None,4,
H4,2019,2019,2019,0,0,2,Export,478,Mauritania,MRT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2266469717,None,None,4,
H4,2019,2019,2019,0,0,1,Import,484,Mexico,MEX,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,455289486227,None,None,0,
H4,2019,2019,2019,0,0,2,Export,484,Mexico,MEX,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,460703804234,None,None,4,
H4,2019,2019,2019,0,0,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,5842487249,None,None,4,
H4,2019,2019,2019,0,0,2,Export,498,Rep. of Moldova,MDA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,2779164783,None,None,4,
H4,2019,2019,2019,0,0,3,Re-Export,498,Rep. of Moldova,MDA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,781552514,None,None,0,
H4,2019,2019,2019,0,0,4,Re-Import,498,Rep. of Moldova,MDA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,8406452,None,None,0,
H4,2019,2019,2019,0,0,1,Import,533,Aruba,ABW,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1320097006,None,None,4,
H4,2019,2019,2019,0,0,2,Export,533,Aruba,ABW,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,83627050,None,None,4,
H4,2019,2019,2019,0,0,1,Import,566,Nigeria,NGA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,47369076912,None,None,4,
H4,2019,2019,2019,0,0,2,Export,566,Nigeria,NGA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,53617812190,None,None,4,
H4,2019,2019,2019,0,0,1,Import,634,Qatar,QAT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,29178064574,None,None,4,
H4,2019,2019,2019,0,0,2,Export,634,Qatar,QAT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,72934956293,None,None,0,
H4,2019,2019,2019,0,0,3,Re-Export,634,Qatar,QAT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,2449175591,None,None,0,
H4,2019,2019,2019,0,0,1,Import,662,Saint Lucia,LCA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,623792718,None,None,4,
H4,2019,2019,2019,0,0,2,Export,662,Saint Lucia,LCA,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,97255260,None,None,4,
H4,2019,2019,2019,0,0,1,Import,682,Saudi Arabia,SAU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,144334467853,None,None,4,
H4,2019,2019,2019,0,0,2,Export,682,Saudi Arabia,SAU,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,251800016999,None,None,4,
H4,2019,2019,2019,0,0,1,Import,818,Egypt,EGY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,78657517973,None,None,4,
H4,2019,2019,2019,0,0,2,Export,818,Egypt,EGY,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,30632552899,None,None,4,
H4,2019,2019,2019,0,0,1,Import,882,Samoa,WSM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,390681506,None,None,4,
H4,2019,2019,2019,0,0,2,Export,882,Samoa,WSM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,49272482,None,None,4,
H3,2019,2019,2019,0,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,568340063,None,None,4,
H3,2019,2019,2019,0,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,37400118,None,None,4,
H3,2019,2019,2019,0,0,3,Re-Export,28,Antigua and Barbuda,ATG,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,34839805,None,None,0,
H3,2019,2019,2019,0,0,1,Import,670,Saint Vincent and the Grenadines,VCT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,335230895,None,None,4,
H3,2019,2019,2019,0,0,2,Export,670,Saint Vincent and the Grenadines,VCT,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,38157024,None,None,4,
