web-scraper-order,web-scraper-start-url,content
"1607355794-225","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","做全职太太，无论是找到一个好老公每天喝喝下午茶就行，还是没找到一个好老公每天做家务做成黄脸婆，本质都没有任何区别，依附别人生活，用三十而已顾佳的话说，就是活在丈夫的价值半径里。"
"1607355794-448","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我觉得按她这个想法，结婚都别结"
"1607355794-693","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","吃瓜"
"1607355794-571","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","然而现在把为家庭付出全部的女性贬的一文不值，最看不起的家庭主妇的人反而是女性"
"1607355794-801","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","评论张校长的观点之前请了解一下相关背景：1.这所学校在哪里，2.为什么只收女生，3.学生的家庭经济状况如何，4.张校长是怎么让她的学生不因贫困辍学的。了解清楚了也就明白她为什么会对她的学生如此生气。"
"1607355794-537","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","这，媒体把话说的模棱两可的，我还以为人家校长怎么了"
"1607355794-530","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","不是，如果我有钱能生活，我愿意不工作，我愿意照顾家庭，我怎么就可耻了？？？干嘛啊，女的不能工作到女的必须工作，封建社会另一个极端吗？"
"1607355794-717","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","直接把你投诉"
"1607355794-629","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","人家爱干啥干啥，不要职业歧视好吗?，全职太太你以为那么好当?会做饭打扫，顾家照顾两边父母，教育孩子，带孩子，你去试试，有的人大学读了四年也没学个啥，想当全职太太还没资本，除非你大学学的专业知识可以为社会所用当全职太太确实可惜，不然就是个人选择"
"1607355794-262","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我觉得做全职太太，万一离婚，女性收入低，抢不到孩子抚养权的，所以我觉得还是要有自己的工作比较好，特别是高学历，有能力'，有工作特别好，个人观点，不喜勿喷"
"1607355794-105","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","谁跟我一样的想法？这个投票有点不清不楚，要是不是看了评论说的，这投票看上去就是张校长的不对"
"1607355794-545","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","全职太太和家庭主妇是两个概念吧"
"1607355794-539","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","如果人家婚姻幸福美满，当全职太太也能更好的培养下一代。如果觉得不妥，以后可以在校规里加一条不能当全职太太"
